label,humanLabel,text,score
NEUTRAL,0,のほ,0.894
POSITIVE,1,私はこの曲を毎日聞いています,0.5637
POSITIVE,1,痺れる👍❤️❤️❤️❤️❤️❤️😙😙😙😙,0.535
POSITIVE,0,YOASOBIアイドルOfficial Music Video344M views ·6 months ago#49 GLOBAL TOP MUSIC VIDEO...moreAyase / YOASOBI5.95MSubscribe3.7MShareSaveReportComments131KらるまるRaruMaruアニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれもう第2期を覇権だろUp next7:00200時間かけてアイドルのフルバージョンが完成しました推しの子ピノの羽•1.9M viewsShorts remixing this videoDrawing Nezuko as Idol! #demonslayer #shorts #nezuko #oshinoko #kimetsunoyaiba #idol #art #drawing2.8M views최애의아이렌즈!! 아이💜루비🩷아쿠아🩵1.4M viewsLEARN Aqua's Pen Spinning Trick! ✍️🌀#shorts1.8M views推しの子×カラオケの鉄人ウエディングドレス姿の皆が可愛すぎて泣きそうOSHI NO KO9.7M viewsYoung John Wick613K viewsAnya 😄#shorts #anya #oshinoko #hoshikirarinko1.6M viewsМногиепросилитуториалэтойверсии🥺❤️#oshinoko #tutorial #звездноедитя1.1M viewsDrawing Ai Hoshino 🤩from Oshi no Ko || Coffe Art ☕#shorts #oshinoko #drawinganime6.3M views推しの子アイを食べられるアイシングクッキーにしてみた! OSHI NO KO Ai cookie decorating 최애의아이我推的孩子12M viewsHoshino Ai ❤️Oshi no Ko - Sculpting Anime Clay Art Figure29M views1:41Levi vs Beast Titan - Attack on Titan Season 3 | with Attack on Titan OSTAnime luna II•26M views1:36Film Red: I'm invincible #filmred #onepiece #utaAnitaisho•274K views3:20JEON SOMI (전소미) - `Fast Forward' M/VTHEBLACKLABEL•61M viewsLIVEファミレスを享受せよ今日も深夜から配信するしドリンクバーだってあるんだ儒烏風亭らでん#ReGLOSS Raden Ch.儒烏風亭らでん- ReGLOSS•7.2K watching3:35フィクションブルー歌ってみた・描いてみた/雨宿cover雨宿-amayado-•2.9K views1:48ブルアカMADブルーアーカイブ×勇者/YOASOBIかめ•13K views3:37Kagamine Len feat. the Girls+ ♂OriginalReol Official•15M views3:17Ariana Grande - Fantasize (Lyrics)EntertainerNew297K views8:57Subaru keep crossing the line while playing Hololive Suika GameHololive/Eng subSushi ClipsNew7.2K views14:04League Is Finally Getting Rid of Summoner NamesNecritNew34K views3:21Where Our Blue Is / Tatsuya Kitaniキタニタツヤ/ Tatsuya Kitani•27M viewsComments131KAdd a comment...@RaruMaru2 days agoアニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれShow more repA good song that hits even harder after seeing the 1st episode,0.9208
POSITIVE,1,何回聴いても飽きないしマジで神曲すぎる,0.9822
POSITIVE,0,我太愛忍之子了我愛你的音樂,0.8677
POSITIVE,0,この曲毎日聴いてるからいつの間にか全部歌えるようになってる,0.9767
POSITIVE,1,ベースとリズムシンセの音の組み合わせや流れが心地良すぎる😂,0.9854
POSITIVE,1,ヘッドホンで聴くと綾ちゃんの可愛い声がわかります❤,0.9801
NEUTRAL,0,これを超える曲が現れるのだろうか・・・,0.6062
NEGATIVE,-1,一言コメうぜーよどうせ機械で一斉にコメ流してるだけだと思うが,0.6349
POSITIVE,1,半年前なのにまだ急上昇3位にいるの凄すぎる…,0.5494
POSITIVE,1,めっちゃ可愛いめちゃくちゃ歌うたうたってるよ,0.9941
POSITIVE,1,語尾の音程というか歌声が本当に可愛いし好きそして歌うとめちゃくちゃ難しい,0.9672
NEUTRAL,0,星野アイ星のeye(アイ),0.9161
POSITIVE,1,原作より先にこのMVを観たけど歌詞が泣けてきました嘘で作り上げたアイドル偶像を演じながら愛されることではなく愛することを自分の心を見つめる目に嘘ごまかしなくただひたすら望む姿勢は彼女がそれだけで本来は愛溢れる子なんだなって感じました自分にあまりにもストイックで不器用で愛すべき完璧なアイドル,0.9366
POSITIVE,0,アニメキッカケにこの曲知った人には他のyoasobiの曲も聞いて欲しい,0.8873
POSITIVE,1,カラオケでアイドル歌ったけど音がめっちゃ外れて難しかったそれを毎回上手に歌うikuraちゃんスゴすぎるアイドルめっちゃ好きなのでこれからもたくさん聞いて練習します,0.9868
NEGATIVE,-1,外国語のコメントいらねー邪魔くさいだけだ,0.9891
POSITIVE,0,ジャニーズ問題の中この曲が紅白で歌われるとは感慨深いですなぁ,0.8072
NEUTRAL,0,海外のコメント多くてびっくり,0.7117
POSITIVE,0,ちょっと順位盛り返してるの草,0.6852
POSITIVE,0,1000万回4月17日5000万回4月25日1億回5月18日2億回6月30日3億回9月2日予測4億回12月20日5億回4月15日伸びやばすぎだろ,0.6193
POSITIVE,1,まじYOASOBIもアイドルもただの日本の誇りで草,0.6437
NEUTRAL,0,あと58万回,0.7489
NEGATIVE,1,3.4億はえぐい,0.4597
NEGATIVE,0,もうすぐ私私を愛する気が涙が出て悲しくなってきました,0.9926
POSITIVE,1,半年で3.4億ってやばくね,0.6954
NEGATIVE,1,コメント数の割に再生が伸びていないと言う事はサーバーのバグだな,0.9566
POSITIVE,1,はよ4億行け願わくばDespacitoを邦楽が超えてほしい,0.8702
NEUTRAL,0,年末で忙しくなり今より再生数が下がったと仮定した場合の予想再生数を計算してみたこれ以上下がらなけば限りなく4億再生に行くと考えられる10月は残り13日で1日平均70万再生とすると合計910万再生11月は30日で1日平均60万再生とすると合計1800万再生12月は31日で1日平均50万再生とすると合計1550万再生10月12月までの予測再生数は3.86億再生(8ヶ月でこの再生数も脅威的何だけどね)少し頑張れば年内4億再生は全然可能な範囲なのは言うまでも無い最低2月頃に最低再生数でも4億再生に到達するだろう色と意見があると思うけどあくまで参考な,0.7102
POSITIVE,1,かわいいすごくじょうず❤😂🎉😮ありがと🎉,0.9742
NEUTRAL,1,うたがじょうず,0.6863
NEUTRAL,0,最近英語のコメント多いな,0.8388
POSITIVE,1,アイドル神曲すぎる,0.9763
POSITIVE,1,kuraさんいつもの歌声じゃなくてアイドルを擬態化した歌声アイドルの表と裏を曲で表したayaseさん2:36ここで転調させるのもう天才としかいえないnice,0.5862
NEGATIVE,0,またサーバーのバグか13万コメントもあるとサーバーもバグを起こすよな,0.9313
NEUTRAL,1,歌詞が👍🏼👍🏼👍🏼👍🏼👍🏼,0.5663
NEUTRAL,0,久しぶりに聞くけど,0.884
POSITIVE,0,今日は50万再生行けば御の字かな・・・,0.885
NEUTRAL,0,サーバー停止してないか,0.7263
NEUTRAL,1,たった半年で3.4億ヤバ過ぎる🎉,0.7208
POSITIVE,0,この歌を口ずさみながら自分の赤ちゃんで遊ぶのがマイブーム赤ちゃんは無敵のアイドルだからね,0.7945
NEUTRAL,0,今日の社会のテストの時事問題で出てきた,0.7029
POSITIVE,0,このペースだと年内4億再生も視野ですね現時点であと約6千万再生)どこまでいけるか本当に気になる曲,0.7952
POSITIVE,0,さぁあと580万だ,0.5378
NEUTRAL,0,アイドール0:17アイドル,0.8996
NEUTRAL,0,アイドル2:44,0.941
NEUTRAL,0,ル,0.8317
POSITIVE,1,英語のネイティブスピーカーとしてそしてアメリカに住んでいる者として私たちはここでもこの曲に夢中になっていると断言できます海外の皆さんこんにちは,0.7447
NEGATIVE,-1,メロディーは芸能界の表を歌ってるみたいハモリとか伴奏は芸能界の裏を歌ってるみたいでなんか怖い,0.9927
POSITIVE,1,神神神神,0.8015
POSITIVE,1,yoasobi神,0.9488
POSITIVE,0,これダイヤモンドのたてもらえてもおかしくない,0.8868
POSITIVE,1,最近アウトロの良さに気づけた,0.9656
POSITIVE,0,一年で5億いくな,0.5732
NEUTRAL,0,日本人口は1億2000万人です⤴︎,0.8871
POSITIVE,1,結構前までAdoがすごいと思ってたけどたった半年でうっせえわ抜いたの凄い,0.984
POSITIVE,1,3.44億再生おめでとう🎉🎉平日は遅くなるけど致し方ないね,0.7856
NEUTRAL,0,アイドルはやはりアセンダント双子座でしょう😅,0.9186
NEUTRAL,0,次のシーズンでアクアが父親を見つけられなければ,0.7703
NEUTRAL,0,アイドル聴くとなんか懐かしくなるのなんで,0.5528
NEUTRAL,0,2024年も聞く人🙋,0.5617
NEGATIVE,0,本日の再生数は792551回でした…先週の今日が1048983回なので先週比は75.6%ですついにこの日が来てしまいました…分かっていてもやっぱり悲しい…,0.9938
POSITIVE,1,5億回再生おめでとう,0.9723
NEGATIVE,0,やはり平日は伸びんね伸びんと言っても並の曲ならバズッてる位の再生数何だけど再生数感覚麻痺……,0.9922
POSITIVE,1,3位に上がってねおめ,0.6374
NEUTRAL,0,もう半年かよ(時の流れは早い,0.79
NEGATIVE,-1,なんでロリなんとかに抜かれるんだよ,0.8796
POSITIVE,0,また一位にならないかな,0.7641
NEUTRAL,0,アイドルを初めて聞いた時のあの感情をもう一度味わいたい,0.5105
POSITIVE,1,元流行ってるなこの歌って思ってたけどアニメと原作見たら作詞作曲のセンスありすぎる歌だなって感動した,0.9786
NEUTRAL,1,人気3位...バケモノなのバケモノなアイドルなの,0.6641
NEUTRAL,0,日本は八百万の神だから神曲が幾万会っても問題ないんだよな八百万の神曲しかし海外は一神教神曲は一つのみ一神教だとするとあなたの本当の神曲は何だ,0.5891
POSITIVE,1,めっちゃ好き最高すぎるこの歌が流れたらすぐにこの歌の虜に入ってしまった,0.9782
NEUTRAL,0,私はずっと彼女の話を聞いてきました,0.7955
POSITIVE,0,怪物抜いた,0.952
POSITIVE,0,俺が死んだ後の世界になりたい,0.8209
NEUTRAL,1,3位になったえぐ,0.6902
NEGATIVE,-1,さすがに寿命,0.7934
POSITIVE,0,毎日歌ったています,0.6171
POSITIVE,1,久に戻っても人気ランキングに乗ってんのスゴすぎ,0.9728
NEUTRAL,0,久しぶりに聞きに来た1か月前4億到達は12月10日頃と予想したけどそのぐらいになりそうだな,0.5133
POSITIVE,1,聴きすぎると飽きると思ったけど……飽きないなんてアイドルすご,0.8922
NEGATIVE,0,みんな…力…合わせる…年末…4億…到達‼️みんな…力…合わせない…年末…4億…むり…死刑…,0.7709
NEUTRAL,0,アイランド☆,0.8236
POSITIVE,1,どんだけ伸びるんだよおめでとう,0.9867
POSITIVE,1,3位すごいやろ,0.8438
POSITIVE,1,神曲最高‼︎,0.993
POSITIVE,1,いい歌だと思います,0.9869
POSITIVE,1,ぶっちゃけ原作いらないほど良い曲,0.9773
NEUTRAL,0,さぁあと639万だ,0.5152
NEGATIVE,0,5時間前に言ったよな今日の目標は3.44億って甘いよ今のままだともう先生知りませんでろ‼️,0.4736
POSITIVE,1,日本の神曲最高‼︎,0.9895
POSITIVE,0,今日が最後のジャニーズ日ジャニーズ最後にファンになったのがなにわ男子😂😂初心❤️最高だったよキラキラ🎉🎉しててワクワクして聞いた😣😣ジャニーズとして最後に買ったCDはサチアレ🎉🎉ジャニーズしては最後だけど新しいなにわ男子楽しみしてるね🎉サチアレ🎉🎉,0.9833
POSITIVE,0,10億再生いけー!,0.9741
POSITIVE,1,すきです,0.9785
NEUTRAL,0,怖くてこのアニメ見れないでいる😢観たほうがいいのかな,0.6831
NEUTRAL,0,リスペクトと嘘と現実と皮肉とって色んな方向からアイドルとはを表現してるな嘘をつくのがアイドルでありら色んな人の理想を演じるのがアイドルめちゃくちゃ息苦しくてめんどくさい職業だけどそれを超えた時ホンモノのアイドルになるんだろうな,0.813
NEUTRAL,0,えっもうこの神曲が配信されてから6ヶ月もたったの,0.5235
POSITIVE,1,ありがと,0.6728
POSITIVE,1,3.4億再生おめでとう🎉㊗️,0.9841
NEGATIVE,0,おー,0.5039
POSITIVE,1,推しの子っていうタイトルが良くないただのアイドルオタクのいわゆる萌え系の話なのかと思って興味なかったけど嫁に言われて観てみたら想像しとった話と全く違って面白かった絶対タイトルでパスしとる人けっこうおると思う,0.8539
POSITIVE,1,このまま5億いったらもうすごいなんて言えないくらいになるんだろうな3億4000万再生おめでとうございます,0.9351
NEUTRAL,0,アイドル3.4348億回←←←今ココ怪物3.0935億回夜に駆ける2.7066億回群青1.5257億回たぶん1.0796億回あの夢をなぞって9756万回ハルジオン9645万回祝福7928万回三原色7382万回アンコール6988万回ハルカ5958万回ラブレター3830万回優しい彗星3389万回アイドルEnglish ver.2855万回ツバメ2422万回大正浪漫2223万回もしも命が描けたら2166万回もう少しだけ1853万回セブンティーン1561万回アドベンチャー1487万回勇者1284万回,0.6824
POSITIVE,1,これは素晴らしい素晴らしい仕事です!,0.9926
POSITIVE,1,日本の神曲最高‼︎,0.9895
NEGATIVE,0,今日のノルマは3.44億到達させることやぞサボるなよテメーら,0.5104
NEUTRAL,1,君は完璧なアイドルってところが脳汁,0.7347
NEGATIVE,1,半年経ってて人気3位のミュージックってマジで勢い無くならんやん,0.9757
POSITIVE,1,大好きですハハハ😂😂,0.9848
NEUTRAL,0,また順位が上がっている,0.6367
NEUTRAL,1,すっごいはくりょく,0.3926
POSITIVE,1,もうアニソンどころがJPOPを代表する曲になった神曲,0.9733
POSITIVE,1,神曲最高‼︎,0.993
POSITIVE,1,途中で音楽の雰囲気がガラッと変わるところがすきです毎日歌ってるよ,0.9884
NEGATIVE,0,ていうか原作でアイ亡くなってますよね,0.8806
POSITIVE,1,私は日本人で翻訳を使用していませんが彼らのグループの音楽はとても素晴らしいですね❤,0.9758
NEUTRAL,0,止完施慧果不認人制,0.4222
NEGATIVE,0,陳姿年負責籌畫我的第三首歌索引是李翔聖著無須改蒂己著無須己著無須改,0.8981
NEUTRAL,1,コメント13万はエグいてー,0.482
NEUTRAL,0,"YALL THE RABBITS (USAGI) SYMBOLYSE THE WORD ""TO LIE"" (詐欺(sagi) ) IN JAPANESETHIS HITS WAAAAY TOO DEEP IN THE LAST SCENE WHERE SHE THROW THE RABBIT MASK AND SHE SAY ""THIS IS NOT A LIE, I LOVE YOU""",0.818
NEUTRAL,0,本日の再生数は957439回です先週の今日が1082290回なので先週比は88.5%です日曜日としては初めて100万再生を下回りました😢,0.5203
NEUTRAL,0,最新話ネタバレ注意考察最新話128話でルビーが15年の嘘でアイ役をするために衣装を着ていたけどすごくそっくりでアイドルの途中で歌ってるのって本当にアイなのかそれともアイの衣装を来て撮影のために踊っているルビーなのかって思ってしまったこのコメントが規約に違反している場合すぐに削除しますのでコメントしてくださいm(_ _)m,0.7448
POSITIVE,0,あれこの曲人気3位に上がってね,0.9403
POSITIVE,1,アニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれもう第2期を覇権だろ,0.8721
NEUTRAL,0,"70歳1953年生まれCLUB夜遊会員年会費は5,280円ですLAには行けなかったが北海道のコンサートには妻と息子達夫婦と孫二人の六人で行きましたやはりLAの野外ライブをYouTubeでみると幾多りら(イクラちゃん)はとてもアクティブで素晴らしいですね日本ではアヤセが観客を煽るくらい静かな感じがしましたアイドルもいいが勇者もいいです大正浪漫はカラオケ練習中で夜に駈けるはオンチですが歌うがYOASOBI自体知らない70歳は99知らない人生は70歳から…",0.6079
NEUTRAL,0,MVはアイドルドラマはパリピ孔明だな,0.705
POSITIVE,1,半年経って人気ランキング3位は強すぎて草,0.9407
NEGATIVE,-1,もうアイドル全く期間くなったなぁ😢まじで時代早すぎ😂,0.6461
POSITIVE,1,コメント見てみたら今でも数分ごとにコメントされててすごいと思う,0.9814
POSITIVE,0,りらさんにらんま1/2を歌ってほしい,0.8297
POSITIVE,0,今見たら怪物超えてた,0.566
POSITIVE,1,3.43億再生おめでとう,0.9495
POSITIVE,1,久しぶりに来たら余裕で怪物抜いててびびったた,0.7918
POSITIVE,1,4位に落ちてたからそのまま落ちていくのかと思ってたらまた3位に戻ってるしもう2期来るまで上位で残っちゃえよって,0.7535
NEUTRAL,0,色分けしているところペロって舌を出している👅アイは1話の病院🏥でのアイとステージママのアイの違いを表現しているのかもしれないそれとも作中の過去と未来なのか❓アニメの中のアイと片方は星の描かれ方と目の色がなんかおかしい,0.7759
POSITIVE,1,3奥200おめでとうございます🎉,0.9188
POSITIVE,1,いいね🎉,0.9592
NEGATIVE,0,再生回数7億回再生越えのlemonより再生回数3.4億再生のアイドルの方がグッド数多いのヤバすぎる,0.7305
POSITIVE,1,アイドル神曲すぎる,0.9763
POSITIVE,0,この曲運動会で歌いますww,0.9196
NEUTRAL,0,曲で原作は8割決まる,0.7581
POSITIVE,0,NCTが踊ってくれたので感謝してます,0.9886
POSITIVE,1,楽曲はもちろんだがMVが素晴らしすぎる,0.9914
POSITIVE,1,きゃわいい❤❤❤❤❤❤❤❤❤❤❤❤❤,0.8677
POSITIVE,1,誰もが愛するだろ❤❤❤❤❤,0.8037
POSITIVE,1,推しの子見て知ってる曲だったけど日プ3のリブルーム(ももなこころ)が歌ってからハマってるのは私だけではないはず😉🫶,0.6596
NEGATIVE,1,アニメと漫画読んだあとに聞くとむっちゃあつくなる🥺,0.9623
POSITIVE,1,今さらMV初めて見て聴いたけど音の抑揚や変調に歌い方のクセだったりテンポがなんかすごいハマる耳が気持ち良い,0.9926
NEUTRAL,0,最後のトットットッって毎回ドアのノックに似てるなぁって思いながら動画3周してる,0.9043
POSITIVE,1,何回聴いても飽きない,0.7666
NEUTRAL,0,もうこの曲も半年前か…,0.5713
POSITIVE,1,ランキングがどうであれ俺の中では絶対的1位だな笑これからもずっと聴きます,0.9302
POSITIVE,0,アヤセが税金対策が大変だから法人化したとか言っていたなそれはイクラも同じだろうてゆかサポートも同じだろう幾ら稼いでもいいよそれだけ見合った対価だからなそしてもっと良い曲を作成してもっと稼いでくれ期待してるぞね,0.941
POSITIVE,1,もうコイツら人生楽勝,0.9669
POSITIVE,1,歌い踊りまう私はまりあそう嘘はとびきりの愛はだっ↑のシーンめっちゃ好き❗😊💓💕✨,0.987
POSITIVE,1,今のところ最も人気のある曲です,0.8044
NEGATIVE,1,今更だけどアイドルって高評価の数えぐくね,0.618
NEGATIVE,1,アイドル夜中しかやってなくて悲しい,0.9958
NEUTRAL,0,ふとした時にアイの母ちゃんと父ちゃんは誰なんだろうと思うアイに目があるなら父ちゃんか母ちゃんもしくはどっちも星があるのかなそもそも遺伝なのか,0.9291
NEUTRAL,1,実家のような感じがする,0.912
NEUTRAL,1,1話見たらさらにぐっとくる,0.7946
NEGATIVE,0,マジ❗️,0.7534
POSITIVE,1,勇者もいいけどアイドルもいい❗,0.7803
NEUTRAL,0,米津のlemonの再生数抜くなこれw,0.7172
POSITIVE,0,TREASUREアイドル声良いねアイドルTREASURE10人コメントボタン押す方,0.784
NEUTRAL,0,もう半年経つのに驚き,0.6799
NEUTRAL,0,1億2億も十分凄いけどやっぱり3という数字はデカく感じる4になればなおさら,0.6458
NEUTRAL,0,MVでは3位だけど楽曲ランキングではまだ1位なんだなadoとの差は余り無いけど,0.8188
POSITIVE,1,様な曲がランキングに入ったり抜けたりしてる中この曲は約半年ずっと上位に君臨してるの異常すぎる…好き,0.9922
POSITIVE,0,アイドルのダンス作れた🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊,0.9807
NEGATIVE,0,もう半年も経つのか…,0.8999
NEUTRAL,0,さぁあと745万だ,0.5061
POSITIVE,1,中毒性が異常に高過ぎてどんな時でも勝手に脳内再生されてしまう神曲,0.7154
NEUTRAL,1,異次元の曲,0.9434
POSITIVE,0,原作でアイツが疑似復活した記念で見に来た,0.8271
POSITIVE,0,人気のミュージックビデオの次がAdoで納得,0.9289
POSITIVE,1,好きです❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,0.9861
POSITIVE,0,今3億4200万回再生,0.5402
NEGATIVE,0,この歌は好きだしいいんだけど低俗な内容のショート動画やTikTokの背景でよく流れてるのがすごく嫌そしてそれによく流れてるサビの部分だけ聞いて勘違いしたにわかが勇者の雰囲気はヨアソビと合ってないとかいうコメ書いてんのも見てて腹ただしい,0.9937
POSITIVE,1,人気12位の曲たちを見て1ヶ月で1億を出したアイドルがどれだけ異次元かよく分かりましたまさに日本の至宝,0.9492
NEGATIVE,0,祝福が23位から消えてしまい何処にも存在しなくなってしまったどう言う事なんだろうーアドベンチャーとセブンティーンは70位台に入っているのに,0.8529
POSITIVE,0,三位に上がったね,0.8376
POSITIVE,0,人気3位に復帰‼️人気1位は…よかったアイツじゃねぇ,0.9714
POSITIVE,0,夜に駆けるを年齢制限から解放したら人が流れ込んで人気MVランキングXのトレンドで急上昇しそう,0.5106
POSITIVE,1,いい曲です︎✧︎,0.9823
NEGATIVE,0,日曜日の朝だからって油断してコメントを絶やすな,0.8508
POSITIVE,0,ヒカキンもやってたよ,0.5692
POSITIVE,0,嘘は飛び切りの愛なんだよいつか本当の愛になる日を願ってもうとっくに本当の愛になってた筈だけど愛って目に見えないからはっきり分からないでもファンには嘘でも愛してるって言えるけどルビィとアクアには嘘になると怖くて言えない自分を刺して自分の命が消えそうなギリギリまでも目の前のファンを愛したいと思う愛と言わずしてなんと言うのか…なにより自分の子供見て全力の素で可愛いと笑顔になれる時点で大好きなんだよ,0.9567
POSITIVE,0,"間奏の所You're my savior, you're my saving grace(あなたは私の救世主あなたは私の救い/恵みです)",0.6959
POSITIVE,0,居然3.4亿播放了,0.7061
POSITIVE,0,ヴォーカル様貴女の未来っぽいm(_ _)m,0.5115
POSITIVE,1,いくらちゃんて歌うまいなあ令和の歌姫,0.9846
NEUTRAL,0,寝る前に聴くとベートーヴェンの第9同様に頭が冴えてしまうね寝る前は勇者の方が良いかも,0.8528
POSITIVE,0,某MADと某YouTuberから知って今日推しの子を最終回まで見ましたがタイトル回収とかヤバすぎましたしかもこの曲が1話の内容なんて…………こんな神曲作ってくれたYOASOBIには感謝ですありがとうございます愛してますそして2期も期待してます(是非2期もYOASOBIさんが担当してほしいな),0.831
POSITIVE,1,廻廻奇譚も3.3億再生達成したなJ-POPは最強だ,0.9693
POSITIVE,0,ロリ神といっつも一緒に聴いてる,0.505
POSITIVE,1,ついに3.4億突破yoasobi凄すぎる,0.9262
