,label,humanLabel,text,score
38,POSITIVE,0,漫画 の 方 で 黒 アイ って ウィッグ 被った ルビー に 見える って コメ 見た の で MV 見 に きた ,0.8026
39,NEUTRAL,0,消費 さ れる リズム 2023 ,0.7799
40,POSITIVE,1,この 曲 は 素晴らしい です 日本 の 曲 な ので 私 の お 気に入り の 曲 です ,0.9847
41,POSITIVE,1,だいすき 😘😘 😘😘 😘😘 😘😘 😘😘 😘😘 😘😘 😘😘 ❤ 💙💙 ❤ 💙❤ 💙❤ 💙😘 😘😘 😘😘 ,0.9437
42,NEUTRAL,0,あれ 昨日 再生 数 報告 して ない 10 月 17 日 火曜日 の 再生 数 は 806653 回 です 10 月 10 日 の 再生 数 が 868269 回 な ので 先週 比 は 92 .9 % でした ,0.7331
43,POSITIVE,0,3億4500万 回 再生 お めで とう 🎉 ,0.9626
44,NEGATIVE,0,今月 中 に 3億5500万 まで 行か ない と 年 内 4億 ピンチ な んだ 頑張れ 野郎 ども ,0.8426
45,NEUTRAL,0,僕 は 今朝 は 麦茶 を 一杯 ( それ は 内緒 ❤ ️ ) ,0.8194
46,NEUTRAL,0,さぁあ と 478万 だ ,0.4957
47,POSITIVE,1,good ( マサキ 😊) ,0.6227
48,NEUTRAL,1,100 年 たって も 削除 し ないで ね 運動 会 で やる 思い出 だ から ,0.7416
49,POSITIVE,1,王 林 ちゃん に 是非 と も 歌って もらい たい 今 世紀 最高の アニソン ,0.9836
50,NEUTRAL,1,何 度 聞いて も やっぱり 完成 度 が 異常に 高い ,0.5186
51,NEUTRAL,1,毎日 自然 と 歌って る ,0.5361
52,POSITIVE,1,毎日 これ 歌って る んです が 最後 ら 辺 喉 が 痛く なって くる んで マジで 喉 潰れる んです が 何で 最後 まで 綺麗な 声 で 歌える YOASOBI さん 凄 すぎ です ,0.9814
53,POSITIVE,1,テレビ で 1 位 が 発表 さ れて その 度 やっぱ 推し の 子 最高ー って 叫んで ます ただ の ヤバイ 奴 ,0.8606
54,POSITIVE,0,歌って みた 投稿 して いい です か ,0.9644
55,NEGATIVE,0,П р о с т о ш и к а р н о 个手 机 洗 不 舍得 技 术的 话精 细化 п р о с т о ш и к а р н о 哈这 就 是 这么 好 听好 听 ,0.6551
56,NEUTRAL,0,2024 年 も 聞く と 決めて いる 人 いる ,0.8394
57,NEUTRAL,1,4億 回 再生 🎉 ,0.7871
58,POSITIVE,1,作品 を 読んで アニメ を 見て そして アイドル の MV を 聴く と 涙腺 が 緩く なり ます 素晴らしい 作品 を ありがとう ございます ,0.9782
59,NEUTRAL,1,2 : 49 ここ 初見 聞いた 時 私 は そう 二 人 の アイドル に 聞こえた んだ けど 欲張りな んや … 二 人 の アイドル って 聞いた 時 アクア くん と ルビー ちゃん を 指して る の か な って 思った ,0.8107
60,POSITIVE,0,さぁあ と 495万 だ ,0.5346
61,NEUTRAL,0,あと 500万 再生 で 35億 再生 か …… ,0.8608
62,POSITIVE,1,おし の この キャラクター 可愛い です よ ね ナイナイ の 尾 岡村 さん が オール ナイト ニッポン で 歌って い ました けど 面白かった です よ ね あれ も ない ないない ない 岡村 さん の 事 です か ぐる ナイ で 共演 する かも しれ ませ ん よ ,0.9253
63,NEUTRAL,0,の ほ ,0.894
64,POSITIVE,1,私 は この 曲 を 毎日 聞いて い ます ,0.5637
65,POSITIVE,1,痺れる 👍❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ 😙😙 😙😙 ,0.535
66,POSITIVE,1,何 回 聴いて も 飽き ない し マジで 神曲 すぎる ,0.9822
67,POSITIVE,0,我 太 愛 忍 之 子 了 我愛你 的 音樂 ,0.8677
68,POSITIVE,0,この 曲 毎日 聴いて る から いつの間にか 全部 歌える ように なって る ,0.9767
69,POSITIVE,1,ベース と リズムシンセ の 音 の 組み合わせ や 流れ が 心地 良 すぎる 😂 ,0.9854
70,POSITIVE,1,ヘッドホン で 聴く と 綾 ちゃん の 可愛い 声 が わかり ます ❤ ,0.9801
71,NEUTRAL,0,これ を 超える 曲 が 現れる のだろう か ・ ・ ・ ,0.6062
72,NEGATIVE,-1,一言 コメ う ぜー よ どうせ 機械 で 一斉に コメ 流して る だけ だ と 思う が ,0.6349
73,POSITIVE,1,半年 前 な のに まだ 急 上昇 3 位 に いる の 凄 すぎる … ,0.5494
74,POSITIVE,1,めっちゃ 可愛い めちゃくちゃ 歌う たう たって る よ ,0.9941
75,POSITIVE,1,語尾 の 音程 と いう か 歌声 が 本当に 可愛い し 好き そして 歌う と めちゃくちゃ 難しい ,0.9672
76,NEUTRAL,0,星野 アイ 星 の eye ( アイ ) ,0.9161
77,POSITIVE,1,原作 より 先 に こ の MV を 観た けど 歌詞 が 泣けて き ました 嘘 で 作り 上げた アイドル 偶像 を 演じ ながら 愛さ れる こと で は なく 愛する こと を 自分 の 心 を 見つめる 目 に 嘘 ごまかし なく ただ ひたすら 望む 姿勢 は 彼女 が それ だけ で 本来 は 愛 溢れる 子 なんだ なって 感じ ました 自分 に あまりに も ストイックで 不器用で 愛す べき 完璧な アイドル ,0.9366
78,POSITIVE,0,アニメ キッカケ に この 曲 知った 人 に は 他 の yoasobi の 曲 も 聞いて 欲しい ,0.8873
79,POSITIVE,1,カラオケ で アイドル 歌った けど 音 が めっちゃ 外れて 難しかった それ を 毎回 上手に 歌う ikura ちゃん スゴ すぎる アイドル めっちゃ 好きな ので これ から も たくさん 聞いて 練習 し ます ,0.9868
80,NEGATIVE,-1,外国 語 の コメント いら ねー 邪魔 くさい だけ だ ,0.9891
81,POSITIVE,0,ジャニーズ 問題 の 中 この 曲 が 紅白 で 歌わ れる と は 感慨 深い です なぁ ,0.8072
82,NEUTRAL,0,海外 の コメント 多くて びっくり ,0.7117
83,POSITIVE,0,ちょっと 順位 盛り 返して る の 草 ,0.6852
84,POSITIVE,0,1000万 回 4 月 17 日 5000万 回 4 月 25 日 1億 回 5 月 18 日 2億 回 6 月 30 日 3億 回 9 月 2 日 予測 4億 回 12 月 20 日 5億 回 4 月 15 日 伸び やば すぎ だろ ,0.6193
85,POSITIVE,1,まじ YOASOBI も アイドル も ただ の 日本 の 誇り で 草 ,0.6437
86,NEUTRAL,0,あと 58万 回 ,0.7489
87,NEGATIVE,1,3 . 4億 は えぐ い ,0.4597
88,NEGATIVE,0,もう すぐ 私 私 を 愛する 気 が 涙 が 出て 悲しく なって き ました ,0.9926
89,POSITIVE,1,半年 で 3 . 4億 って やばく ね ,0.6954
90,NEGATIVE,1,コメント 数 の 割に 再生 が 伸びて い ない と 言う 事 は サーバー の バグ だ な ,0.9566
91,POSITIVE,1,は よ 4億 行け 願わくば Despacito を 邦楽 が 超えて ほしい ,0.8702
92,NEUTRAL,0,年 末 で 忙しく なり 今 より 再生 数 が 下がった と 仮定 した 場合 の 予想 再生 数 を 計算 して みた これ 以上 下がら なけば 限りなく 4億 再生 に 行く と 考え られる 10 月 は 残り 13 日 で 1 日 平均 70万 再生 と する と 合計 910万 再生 11 月 は 30 日 で 1 日 平均 60万 再生 と する と 合計 1800万 再生 12 月 は 31 日 で 1 日 平均 50万 再生 と する と 合計 1550万 再生 10 月 12 月 まで の 予測 再生 数 は 3 . 86億 再生 ( 8 ヶ月 で この 再生 数 も 脅威 的 何 だ けど ね ) 少 し 頑張れば 年 内 4億 再生 は 全然 可能な 範囲 な の は 言う まで も 無い 最低 2 月 頃 に 最低 再生 数 でも 4億 再生 に 到達 する だろう 色 と 意見 が ある と 思う けど あくまで 参考 な ,0.7102
93,POSITIVE,1,かわいい すごく じょうず ❤ 😂🎉 😮 あり が と 🎉 ,0.9742
94,NEUTRAL,1,うた が じょうず ,0.6863
95,NEUTRAL,0,最近 英語 の コメント 多い な ,0.8388
96,POSITIVE,1,アイドル 神曲 すぎる ,0.9763
97,POSITIVE,1,kura さん いつも の 歌声 じゃ なくて アイドル を 擬態 化 した 歌声 アイドル の 表 と 裏 を 曲 で 表した ayase さん 2 : 36 ここ で 転 調 さ せる の もう 天才 と しか いえ ない nice ,0.5862
98,NEGATIVE,0,また サーバー の バグ か 13万 コメント も ある と サーバー も バグ を 起こす よ な ,0.9313
99,NEUTRAL,1,歌詞 が 👍🏼 👍🏼 👍🏼 👍🏼 👍🏼 ,0.5663
100,NEUTRAL,0,久しぶりに 聞く けど ,0.884
101,POSITIVE,0,今日 は 50万 再生 行けば 御 の 字 か な ・ ・ ・ ,0.885
102,NEUTRAL,0,サーバー 停止 して ない か ,0.7263
103,NEUTRAL,1,たった 半年 で 3 . 4億 ヤバ 過ぎる 🎉 ,0.7208
104,POSITIVE,0,この 歌 を 口ずさみ ながら 自分 の 赤ちゃん で 遊ぶ の が マイブーム 赤ちゃん は 無敵の アイドル だ から ね ,0.7945
105,NEUTRAL,0,今日 の 社会 の テスト の 時事 問題 で 出て きた ,0.7029
106,POSITIVE,0,この ペース だ と 年 内 4億 再生 も 視野 です ね 現 時点 で あと 約 6千万 再生 ) どこ まで いける か 本当に 気 に なる 曲 ,0.7952
107,POSITIVE,0,さぁあ と 580万 だ ,0.5378
108,NEUTRAL,0,アイドール 0 : 17 アイドル ,0.8996
109,NEUTRAL,0,アイドル 2 : 44 ,0.941
110,NEUTRAL,0,ル ,0.8317
111,POSITIVE,1,英語 の ネイティブ スピーカー と して そして アメリカ に 住んで いる 者 と して 私 たち は ここ でも この 曲 に 夢中に なって いる と 断言 でき ます 海外 の 皆さん こんにちは ,0.7447
112,NEGATIVE,-1,メロディー は 芸能 界 の 表 を 歌って る みたい ハモリ と か 伴奏 は 芸能 界 の 裏 を 歌って る みたいで なんか 怖い ,0.9927
113,POSITIVE,1,神神 神神 ,0.8015
114,POSITIVE,1,yoasobi 神 ,0.9488
115,POSITIVE,0,これ ダイヤモンド の たて もらえて も おかしく ない ,0.8868
116,POSITIVE,1,最近 アウトロ の 良 さ に 気づけた ,0.9656
117,POSITIVE,0,一 年 で 5億 いく な ,0.5732
118,NEUTRAL,0,日本 人口 は 1億2000万 人 で す ⤴ ︎ ,0.8871
119,POSITIVE,1,結構 前 まで Ado が すごい と 思って た けど たった 半年 で うっ せえ わ 抜いた の 凄い ,0.984
120,POSITIVE,1,3 . 44億 再生 お めで とう 🎉🎉 平日 は 遅く なる けど 致し方ない ね ,0.7856
121,NEUTRAL,0,アイドル は やはり アセンダント 双子 座 で しょう 😅 ,0.9186
122,NEUTRAL,0,次の シーズン で アクア が 父親 を 見つけ られ なければ ,0.7703
123,NEUTRAL,0,アイドル 聴く と なんか 懐かしく なる のな んで ,0.5528
124,NEUTRAL,0,2024 年 も 聞く 人 🙋 ,0.5617
125,NEGATIVE,0,本日 の 再生 数 は 792551 回 でした … 先週 の 今日 が 1048983 回 な ので 先週 比 は 75 .6 % で す ついに この 日 が 来て しまい ました … 分かって いて も やっぱり 悲しい … ,0.9938
126,POSITIVE,1,5億 回 再生 おめでとう ,0.9723
127,NEGATIVE,0,やはり 平日 は 伸び ん ね 伸び ん と 言って も 並 の 曲 なら バズッ てる 位 の 再生 数 何 だ けど 再生 数 感覚 麻痺 …… ,0.9922
128,POSITIVE,1,3 位 に 上がって ね お め ,0.6374
129,NEUTRAL,0,もう 半年 かよ ( 時 の 流れ は 早い ,0.79
130,NEGATIVE,-1,なんで ロリ なんとか に 抜か れる んだ よ ,0.8796
131,POSITIVE,0,また 一 位 に なら ない か な ,0.7641
132,NEUTRAL,0,アイドル を 初めて 聞いた 時 の あの 感情 を もう 一 度 味わい たい ,0.5105
133,POSITIVE,1,元 流行 って るな この 歌 って 思って た けど アニメ と 原作 見たら 作詞 作曲 の センス あり すぎる 歌 だ なって 感動 した ,0.9786
134,NEUTRAL,1,人気 3 位 . .. バケモノ な の バケモノ な アイドル な の ,0.6641
135,NEUTRAL,0,日本 は 八百万 の 神 だ から 神曲 が 幾万 会って も 問題 ない んだ よ な 八百万 の 神曲 しかし 海外 は 一神教 神曲 は 一 つ のみ 一神教 だ と する と あなた の 本当の 神曲 は 何 だ ,0.5891
136,POSITIVE,1,めっちゃ 好き 最高 すぎる この 歌 が 流れたら すぐ に この 歌 の 虜 に 入って しまった ,0.9782
137,NEUTRAL,0,私 は ずっと 彼女 の 話 を 聞いて き ました ,0.7955
138,POSITIVE,0,怪物 抜いた ,0.952
139,POSITIVE,0,俺 が 死んだ 後 の 世界 に なり たい ,0.8209
140,NEUTRAL,1,3 位 に なった えぐ ,0.6902
141,NEGATIVE,-1,さすが に 寿命 ,0.7934
142,POSITIVE,0,毎日 歌った てい ます ,0.6171
143,POSITIVE,1,久 に 戻って も 人気 ランキング に 乗って ん の スゴ すぎ ,0.9728
144,NEUTRAL,0,久しぶりに 聞き に 来た 1 か月 前 4億 到達 は 12 月 10 日頃 と 予想 した けど その ぐらい に なり そうだ な ,0.5133
145,POSITIVE,1,聴き すぎる と 飽きる と 思った けど …… 飽き ない なんて アイドル すご ,0.8922
146,NEGATIVE,0,みんな … 力 … 合わせる … 年 末 … 4億 … 到達 ‼ ️ みん な … 力 … 合わせ ない … 年 末 … 4億 … むり … 死刑 … ,0.7709
147,NEUTRAL,0,アイランド ☆ ,0.8236
148,POSITIVE,1,どん だけ 伸びる んだ よ おめでとう ,0.9867
149,POSITIVE,1,3 位 すごい やろ ,0.8438
150,POSITIVE,1,神曲 最 高 ‼ ︎ ,0.993
151,POSITIVE,1,いい 歌 だ と 思い ます ,0.9869
152,POSITIVE,1,ぶっちゃけ 原作 いら ない ほど良い 曲 ,0.9773
153,NEUTRAL,0,さぁあ と 639万 だ ,0.5152
154,NEGATIVE,0,5 時間 前 に 言った よ な 今日 の 目標 は 3 . 44億 って 甘い よ 今 の まま だ と もう 先生 知り ませ ん で ろ ‼ ️ ,0.4736
155,POSITIVE,1,日本 の 神曲 最高 ‼ ︎ ,0.9895
156,POSITIVE,0,今日 が 最後の ジャニーズ 日 ジャニーズ 最後に ファン に なった の が なにわ 男子 😂😂 初心 ❤ ️ 最高だった よ キラキラ 🎉🎉 して て ワクワク して 聞いた 😣😣 ジャニーズ と して 最後に 買った CD は サチアレ 🎉🎉 ジャニーズ して は 最後だ けど 新しい なにわ 男子 楽しみ して る ね 🎉 サチアレ 🎉🎉 ,0.9833
157,POSITIVE,0,10億 再生 いけー ! ,0.9741
158,POSITIVE,1,すきです ,0.9785
159,NEUTRAL,0,怖くて この アニメ 見 れ ないで いる 😢観 た ほう が いい の か な ,0.6831
160,NEUTRAL,0,リスペクト と 嘘 と 現実 と 皮肉 と って 色んな 方向 から アイドル と は を 表現 して るな 嘘 を つく の が アイドル であり ら 色んな 人 の 理想 を 演じる の が アイドル めちゃくちゃ 息苦しくて めんどくさい 職業 だ けど それ を 超えた 時 ホンモノ の アイドル に なる んだろう な ,0.813
161,NEUTRAL,0,えっ もう この 神曲 が 配信 さ れて から 6 ヶ月 も たった の ,0.5235
162,POSITIVE,1,あり が と ,0.6728
163,POSITIVE,1,3 . 4億 再生 お めで とう 🎉㊗ ️ ,0.9841
164,NEGATIVE,0,おー ,0.5039
165,POSITIVE,1,推し の 子 って いう タイトル が 良く ない ただ の アイドル オタク の いわゆる 萌え 系 の 話 な の か と 思って 興味 なかった けど 嫁 に 言わ れて 観て みたら 想像 し とった 話 と 全く 違って 面白かった 絶対 タイトル で パス し とる 人 けっこう おる と 思う ,0.8539
166,POSITIVE,1,このまま 5億 いったら もう すごい なんて 言え ない くらい に なる んだろう な 3億4000万 再生 おめでとう ございます ,0.9351
167,NEUTRAL,0,アイドル 3 . 4348億 回 ← 今 ココ 怪物 3 . 0935億 回 夜 に 駆ける 2 . 7066億 回 群青 1 . 5257億 回 たぶん 1 . 0796億 回 あの 夢 を なぞって 9756万 回 ハルジオン 9645万 回 祝福 7928万 回 三原色 7382万 回 アンコール 6988万 回 ハルカ 5958万 回 ラブレター 3830万 回 優しい 彗星 3389万 回 アイドル Englishver . 2855万 回 ツバメ 2422万 回 大正 浪漫 2223万 回 もしも 命 が 描けたら 2166万 回 もう 少し だけ 1853万 回 セブンティーン 1561万 回 アドベンチャー 1487万 回 勇者 1284万 回 ,0.6824
168,POSITIVE,1,これ は 素晴らしい 素晴らしい 仕事 です ! ,0.9926
169,POSITIVE,1,日本 の 神曲 最高 ‼ ︎ ,0.9895
170,NEGATIVE,0,今日 の ノルマ は 3 . 44億 到達 さ せる こと や ぞ サボる な よ テメー ら ,0.5104
171,NEUTRAL,1,君 は 完璧な アイドル って ところ が 脳汁 ,0.7347
172,NEGATIVE,1,半年 経って て 人気 3 位 の ミュージック って マジで 勢い 無くなら んや ん ,0.9757
173,POSITIVE,1,大好きです ハハハ 😂😂 ,0.9848
174,NEUTRAL,0,また 順位 が 上がって いる ,0.6367
175,NEUTRAL,1,すっごい はくりょく ,0.3926
176,POSITIVE,1,もう アニソン どころ が JPOP を 代表 する 曲 に なった 神曲 ,0.9733
177,POSITIVE,1,神曲 最 高 ‼ ︎ ,0.993
178,POSITIVE,1,途中 で 音楽 の 雰囲気 が ガラッ と 変わる ところ が すきです 毎日 歌って る よ ,0.9884
179,NEGATIVE,0,ていう か 原作 で アイ 亡くなって ます よ ね ,0.8806
180,POSITIVE,1,私 は 日本 人 で 翻訳 を 使用 して い ませ ん が 彼 ら の グループ の 音楽 は とても 素晴らしい です ね ❤ ,0.9758
181,NEUTRAL,0,止 完 施 慧 果 不 認 人制 ,0.4222
182,NEGATIVE,0,陳 姿 年 負 責 籌畫 我 的 第 三 首 歌 索引 是 李 翔 聖 著 無 須改 蒂己 著 無 須己 著 無 須 改 ,0.8981
183,NEUTRAL,1,コメント 13万 は エグ いてー ,0.482
184,NEUTRAL,0,本日 の 再生 数 は 957439 回 です 先週 の 今日 が 1082290 回 な ので 先週 比 は 88 .5 % です 日曜日 と して は 初めて 100万 再生 を 下回り ました 😢 ,0.5203
185,NEUTRAL,0,最新 話 ネタバレ 注意 考察 最新 話 128 話 で ルビー が 15 年 の 嘘 で アイ 役 を する ため に 衣装 を 着て いた けど すごく そっくりで アイドル の 途中 で 歌って る の って 本当に アイ な の か それとも アイ の 衣装 を 来て 撮影 の ため に 踊って いる ルビー な の か って 思って しまった この コメント が 規約 に 違反 して いる 場合 すぐ に 削除 し ます ので コメント して ください m ( _ _ ) m ,0.7448
186,POSITIVE,0,あれ この 曲 人気 3 位 に 上がって ね ,0.9403
187,POSITIVE,1,アニメ 第 1 期 は もう 終了 して いる の に まだ 人気 が 上がり 続ける の マジで 凄い これ もう 第 2 期 を 覇権 だろ ,0.8721
188,NEUTRAL,0,"70 歳 1953 年 生まれ CLUB 夜 遊 会員 年 会費 は 5 , 280 円 で す LA に は 行け なかった が 北海道 の コンサート に は 妻 と 息子 達 夫婦 と 孫 二 人 の 六 人 で 行き ました やはり LA の 野外 ライブ を YouTube で みる と 幾多 りら ( イクラ ちゃん ) は とても アクティブで 素晴らしい です ね 日本 で は アヤセ が 観客 を 煽る くらい 静かな 感じ が し ました アイドル も いい が 勇者 も いい です 大正 浪漫 は カラオケ 練習 中 で 夜 に 駈ける は オンチ です が 歌う が YOASOBI 自体 知ら ない 70 歳 は 99 知ら ない 人生 は 70 歳 から … ",0.6079
189,NEUTRAL,0,MV は アイドル ドラマ は パリピ 孔明 だな ,0.705
190,POSITIVE,1,半年 経って 人気 ランキング 3 位 は 強 すぎて 草 ,0.9407
191,NEGATIVE,-1,もう アイドル 全く 期間 く なった なぁ 😢ま じ で 時代 早 すぎ 😂 ,0.6461
192,POSITIVE,1,コメント 見て みたら 今 でも 数 分 ごと に コメント さ れて て すごい と 思う ,0.9814
193,POSITIVE,0,りら さん に らんま 1 /2 を 歌って ほしい ,0.8297
194,POSITIVE,0,今 見たら 怪物 超えて た ,0.566
195,POSITIVE,1,3 . 43億 再生 おめでとう ,0.9495
196,POSITIVE,1,久しぶりに 来たら 余裕 で 怪物 抜いて て びびった た ,0.7918
197,POSITIVE,1,4 位 に 落ちて たから そのまま 落ちて いく の か と 思って たら また 3 位 に 戻って る しもう 2 期 来る まで 上位 で 残っちゃ えよ って ,0.7535
198,NEUTRAL,0,色分け して いる ところ ペロ って 舌 を 出して いる 👅 アイ は 1 話 の 病院 🏥で の アイ と ステージママ の アイ の 違い を 表現 して いる の かも しれ ない それとも 作 中 の 過去 と 未来 な の か ❓ アニメ の 中 の アイ と 片方 は 星 の 描か れ 方 と 目 の 色 が なんか おかしい ,0.7759
199,POSITIVE,1,3 奥 200 おめでとう ございます 🎉 ,0.9188
200,POSITIVE,1,いいね 🎉 ,0.9592
201,NEGATIVE,0,再生 回数 7億 回 再生 越え の lemon より 再生 回数 3 . 4億 再生 の アイドル の 方 が グッド 数多い の ヤバ すぎる ,0.7305
202,POSITIVE,1,アイドル 神曲 すぎる ,0.9763
203,POSITIVE,0,この 曲 運動 会 で 歌い ます ww ,0.9196
204,NEUTRAL,0,曲 で 原作 は 8 割 決まる ,0.7581
205,POSITIVE,0,NCT が 踊って くれた ので 感謝 して ます ,0.9886
206,POSITIVE,1,楽曲 は もちろん だ が MV が 素晴らし すぎる ,0.9914
207,POSITIVE,1,きゃ わ いい ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ,0.8677
208,POSITIVE,1,誰 も が 愛する だろ ❤ ❤ ❤ ❤ ❤ ,0.8037
209,POSITIVE,1,推し の 子 見て 知って る 曲 だった けど 日 プ 3 の リブルーム ( も もなこ ころ ) が 歌って から ハマって る の は 私 だけ で は ない はず 😉🫶 ,0.6596
210,NEGATIVE,1,アニメ と 漫画 読んだ あと に 聞く と むっちゃ あつく なる 🥺 ,0.9623
211,POSITIVE,1,今さら MV 初 めて 見て 聴いた けど 音 の 抑揚 や 変調 に 歌い 方 の クセ だったり テンポ が なんか すごい ハマる 耳 が 気持ち良い ,0.9926
212,NEUTRAL,0,最後の トットットッ って 毎回 ドア の ノック に 似て る なぁ って 思い ながら 動画 3 周 して る ,0.9043
213,POSITIVE,1,何 回 聴いて も 飽き ない ,0.7666
214,NEUTRAL,0,もう この 曲 も 半年 前 か … ,0.5713
215,POSITIVE,1,ランキング が どう であれ 俺 の 中 で は 絶対 的 1 位 だ な 笑 これ から も ずっと 聴き ます ,0.9302
216,POSITIVE,0,アヤセ が 税金 対策 が 大変だ から 法人 化 した と か 言って いた な それ は イクラ も 同じだろう て ゆか サポート も 同じだろう 幾ら 稼いで も いい よ それ だけ 見合った 対価 だ から な そして もっと 良い 曲 を 作成 して もっと 稼いで くれ 期待 して る ぞ ね ,0.941
217,POSITIVE,1,もう コイツ ら 人生 楽勝 ,0.9669
218,POSITIVE,1,歌い 踊り まう 私 は まりあ そう 嘘 は とびきり の 愛 は だっ ↑ の シーン めっちゃ 好き ❗ 😊💓 💕✨ ,0.987
219,POSITIVE,1,今 の ところ 最も 人気 の ある 曲 です ,0.8044
220,NEGATIVE,1,今更 だ けど アイドル って 高 評価 の 数え ぐく ね ,0.618
221,NEGATIVE,1,アイドル 夜中 しか やって なくて 悲しい ,0.9958
