level_0,index,textDisplay
41,41,曲なのはわかるけどウイビームシーンはもうアニメやん笑ってもうた
42,42,うわー美しい歌は非常に
43,43,还肯德基咖啡馆里覅发动机付i赔率混合动力都刚打开办法退款v给快递费过生日就怕😊
44,44,いくつかの幼稚なナンセンス
45,45,はいこの曲は翻訳にもかかわらずとてもクールですちなみに私はロシア人です皆さんが元気に過ごしていることを願っています
46,46,この曲1年以上前に出てたの初めて知った
47,47,153万いいねはエグいて😂この前見たときはチャンネル登録者80万人くらいだったのに気づいたらスバルに登録者数近づくレベルなってるやんけw
48,48,これは歌ですかそれともアニメですか
49,49,他の誰よりもういちゃんだやっぱ
50,50,めっちゃ中毒性あって好きなんだけど歌詞がアレなせいで気軽に勧めにくいのが...(∀)
51,51,暗黒切り抜きから✋
52,52,昨日からハマりまくってずっと聞いてる海外の人の反応動画を見に行って最初は可愛いと喜びながら意味を知って粛清されてる様子が面白すぎる😂
53,53,山場が多くズレててとても良い
54,54,粛清ソビエト自分が思う粛清の定理が粛清ロリ神レクイエムになった瞬間
55,55,サビのトラックがめちゃめちゃ中毒性あって何回も聞いちゃう
56,56,9さいでこの歌唱力ってすげぇな……
57,57,このPV作った人とストリーミングハートのPV作った人同じで草
58,58,サビの途中で転調するところめちゃくちゃ心地よい
59,59,救済→9さい
60,60,美少女無罪とロリ神行き来してる
61,61,中国
62,62,踊り方が何かに似てると思ったらDaisukeだ
63,63,初めまして松尾ですから来たけどすんげぇ
64,64,8歳と4歳の娘たちが歌ってました意味が解って歌ってるのだろうか
65,65,こうしてこの世界にまた一人新たなロリコンが生まれた(トリビアの種風)
66,66,このあたりです笑
67,67,誰能告訴我這首歌的英文名字是什麼
68,68,IOSYSは永久に不滅なんだなって
69,69,ユット・チャン
70,70,もしかして救済と9歳かけてある
71,71,学校で流れた時一人廊下で踊ってたなぁwwww
72,72,歌ってる本人がこんなにバズって一番困惑してる草w
73,73,150万超えてる高評価って初めて見た
74,74,(9さい)と救済のレクイエムってかけてる
75,75,なぜか海外の大多数のスーパーカーオーナーから認知されているういちゃん助かるゥ
76,76,え少し前まで再生回数200万くらいで登録者数もう少しで100万とかだったのに4800万と150万???世界線変わったんかな…
77,77,うざいやつに歌ってみた
78,78,0:16のサビのドラム好き
79,79,性格も顔も友と一緒で怖い
80,80,救済と9歳を掛けてることに今更気づいた
81,81,この曲は私の頭にこびりついていてあなたがどれほど優しいか本当に❤
82,82,救済と9さいを掛け合わせてるの天才かよ
83,83,ラ・レイナ・ロリが帰ってきた❤🎉それは示しています彼は血のロリを持って生まれたこと❤
84,84,日本が世界中から変態って言われる理由が詰まった動画でした
85,85,登録者数152万人でグッド152万は凄すぎw
86,86,これを職場のカラオケで歌ったら白い目で見られた社会人です😢
87,87,真香❤
88,88,ハロリン最高でした
89,89,Vちゅーばーでもこんな再生数行ってないぞ笑
90,90,Memphis Cultから来ました
91,91,曲は本当に素敵でちなみに私はそれが好きです
92,92,こんにちは曲が好きです美しいですダンスが好きですGoogle翻訳を使用しているのでこれを見ていただければ幸いです!!!!
93,93,にしてもこの振り付けエグいよな…めっちゃ動くの好き
94,94,このロリVTuber全体の歌ってみた再生ランキングTOPになってね…
95,95,何故か海外の車メーカー公式のmvの動画にも登場するようになったしぐれうい9歳本人はこうキレッキレのダンス出来ないんだろうな…
96,96,うわーかっこいい曲が好きです😍🥰
97,97,末屎考未
98,98,燉汗水者木日大木土
99,99,うああああ頭の中にでん○ろう天帝がぁ
100,100,お前の耳には穴が開いてないのかそれとも粘土でもつめてやがんのかひきちぎったら少しはごめんなさいが聞こえるようになるのかああっ
101,101,何月誕生日
102,102,一日一回は聞くようになってしまった
103,103,深読みかもしれんけどこれ00:06のところ救済と9歳をかけてる
104,104,これ1億再生あるくね
105,105,ういちゃんの可愛い声がこの曲のメインだからめちゃ成り立ってて好き
106,106,うわーなんて美しいんだろう本当に気に入りました
107,107,もぉロリコンでいいや
108,108,センスがある
109,109,この曲が一月で4000万超えるってことは日本人は多分ロリコン
110,110,出る杭は打たれる仲良しな同業者に嫉妬されて裏切られてもおかしくない
111,111,わたし15歳です😂
112,112,山口県下関市大字川棚1509ー1二ノ浜住宅2棟302
113,113,10代は俺のアマ障害者も含めてね久保田勇旧姓藤井勇元ガイア現なんちゃってカイザーより
114,114,歌の中毒性エグい
115,115,アニメを知ってもいいですか
116,116,この曲ハマってる人👍お願いします
117,117,伸びすぎではwww
118,118,"3小,喜勒公3小?"
119,119,人気3位のミュージックビデオまじかよwwww世が末てる
120,120,サブイボ
121,121,怪物みたいなのほぼちんでるのにまだういビームしてるの草笑笑
122,122,ビーエムダブリューゴメンなさーいのところ狂おしいほど好き
123,123,俺の妻たち大切な妻たち大好きな妻たち一緒に生きて生きていきたい妻たち俺の心の拠り所😊😊😊
124,124,まゆこやめなさいカラオケとかでもうんいいよよろしくお願いしゃっす😤😤
125,125,うまい
126,126,ビタ一文貰ってないよ勇より
127,127,言葉
128,128,10代の方が大事じゃないかヤリモクただのヤリモクだよ勇
129,129,ローランドガクト石田彰進藤尚美だよね久保田恵子もね藤井リツ滝部田中菊川の老人ホーム入ってるよね
130,130,The commentsー
131,131,杉田智和もね
132,132,うたわれるもののはくだったんだよ
133,133,いっぱい食べてるあおが好きじいちゃんより
134,134,悠木碧あのあお引き取るからあおが自衛したら仕方ないよあくまで自衛10代のあおのピースメーカーになるよ
135,135,自分用0:14触ったらたいフゥ↑↑
136,136,書いてるから拾ってみて全ての真実は書いてあるよ地雷系でも女子高生でもいいからさ俺と付き合ってよすぅぅぅ😆😆😁
137,137,仲良くしようね対等でいいんだよ王でもなんでもなくてただのいさむでいはいよ
138,138,アダルトと行った子もデートしようぜ
139,139,俺がもし生活に困ったvチューバーだったならスパチャ投げてって無理しない範囲でね自分の生活が第一だからねひたすらデートしようよって言ってるかも地雷系でも女子高生とか生まれてきたからには幸せになってほしいじゃん俺と
140,140,多分コメントにあると思うけど救済9歳のレクイエム
142,142,ういビームのこと最初マヨビームって聞こえた
143,143,英雄とか大英雄とか呼ばれた所でウクライナとかvチューバーとかさ呼ばれた所でただのでもその肩書きで助かる命もあるよねヤリモク
144,144,生きてほしいんだよなぁむしろ俺と暮らしていけばかわるかもしれないじゃん昔のTwitterガイア野上さんも元気かな10代とか何人かにいいねとかしたよねてちのいいねとリツイートしてたよねマリカーのスクショ載せてただろ久保田勇旧姓藤井勇山口県川棚地雷系のみんなかわいい子は一生よろぴヘブバンのコスプレが好きだったよね
145,145,地雷系薬を飲むよう風俗はやめよう俺を助けるためでも血でも舐めてやろうかストーカー監視了解欲しいんだけどそんな地雷系とか大好きなんだけどTwitterで3回ぐらい連絡した最後男はやりもくって書いたよね生きてるかな元気かな
146,146,ガキむかつくな
147,147,わまになななしかさたらやわやはゆはの
148,148,ういビーム出てる時にちょっと地震きてびびった
149,149,あかあやまらをな
150,150,この曲目茶苦茶辛辣で好きではない…
151,151,😆あなたロリ神が行く
152,152,さあ行こうロリ神のレクイエム
153,153,すごいですね漫画が大好きです
154,154,ういビーム
155,155,これ9さいと救済を掛けたりするんでしょうkあっ⋯⋯
156,156,ロリコンを肯定しないの好きなんすよね
157,157,ニコニコ時代ならただのネタだったのにな令和じゃこの内容を真に受ける奴や外国人が居て大変だ😅
158,158,救済と9歳をかけてるの好きなんだよな
159,159,勢いが止まらないねもう5000万再生も射程圏内に捉えた
160,160,ロリ神のレクイム☆☆
161,161,9歳ってことは小3だよね口悪すぎだろ
162,162,絵の動きが凄いねそれだけだな
163,163,ところでこの女一体誰素顔全然見たことねえんだけど
164,164,歌素敵な女の子
165,165,何気に救済と9さいかかってて流石だなぁって思いました
166,166,ロリ神ってなんスカ
167,167,今日のインターネットはこれで十分です
168,168,右膝に絆創膏を貼っているのがエモい
169,169,中どぎつい歌詞だなwそこがいいんだけどさ
170,170,学校流したら駄目ランキング2位w
171,171,歌は嘘をつきません最近人に深刻な問題が生じています
172,172,悪い人たちについての曲を作りましたかガール-あなたの9 -外で遊んでください
173,173,まぁ
174,174,君の意見が変態だってことはわかったよじゃあね
175,175,エグい言葉しゃべっているのが逆にかわいいです
176,176,かっこよすぎるよ日本は私のスタイルであり大好きなアニメだ
177,177,ウイビームのとこ流石にきつい
178,178,実際にこの曲を収録した1年前当時は仮歌状態でういママ本人の歌声が入っておらず最初は原作者(おっさん)の声で録音されていた収録の際歌を流す度におっさん声で電波ソングが流れるもんだから収録スタッフがダメージを受けまくっていたそうで……そりゃ辛いでしょうねえ
179,179,0:58のありがとうがSっ気が出て好き
180,180,10回は観てます
181,181,朝夜風呂入る時に聞いてますごめんなさい(ﾟ∀ﾟ)ポゥ
182,182,もしあなたがこれを翻訳したならあなたは私にいいねをする義務があります
183,183,救済と9歳で掛けているのか
184,184,うわーいいねと登録もします
185,185,法廷にいけば会えるのか……最高裁だな
186,186,チャットリプレイ見ると可哀想なお兄さんが沢山湧いてて面白いw
187,187,ここに来たことを忘れないようにここにチェックインします
188,188,IOSYSの曲って現代でも通用するんだって思って感動した
189,189,ちゃんとレクイエムなのがいいヴェルディも草葉の陰でサイリウム振ってるわ
190,190,なんかアイドル並みの伸び方してるwww
191,191,この曲今となっては世界進出までしてんのおもろいw
192,192,讚
193,193,15年前くらいに流行りまくった電波系FLASHっぽいと思ったら作詞がIOSYSで納得いった
194,194,代入感ありすぎて止まったり止まったり😅
195,195,より一層と○リを量産してる気がする…気のせい
196,196,※彼女はイラストレーターです
197,197,救済と9さいをかけてるのに気がついて助かってる
198,198,0:15がいいね
199,199,CD買いました
200,200,大空スバルがVTuberデビュー↓しぐれういとコラボ配信でVTuberに勧誘↓しぐれういVTuber配信でういビームロリ配信↓この曲が出来ると考えると運命を感じざろうえない
201,201,なぜかこの曲だけ時間が進むのが遅い
202,202,理解できない
203,203,メタルクウラで知った同胞はここにはおらんだろうな
204,204,自分用0:16
205,205,東方の二次創作曲から始まる歌詞のカオスさ中毒性の高いメロディレベルの高いアニメーションの詰まった曲が遂に海外に見つかってしまった
206,206,なぜおにいちゃんおねえちゃんなんだ…まさか…おかm…
207,207,この曲大好きです言葉は変ですがすごくかっこよくて
208,208,本物初めて聞いた
209,209,ブヒー‼️ブヒー‼️
210,210,よく聞いてます😊
211,211,言葉にできないいやする必要のない中毒性がある❤
212,212,触ったら逮捕HI!極中で点呼HI!1234ごめんなさい(´Д)ハァ…ごめんなさいが聞こえないえ粛聖ロリ神レクイエム
213,213,日本と世界での再生数の割合どんなもんなんやろこれ
214,214,ジョジョ要素もあるのは嬉しい
215,215,あんな激押しされてる美少女無罪に再生数でダブルスコアつけてんのすげえな
216,216,ロリを憎むがロリになる
217,217,日本の国歌にしようぜ
218,218,ナンカコエェーナ
219,219,ところどころ画角が変わるの面白いニコニコの画角と合わせてんのかな
220,220,不而是他送
221,221,0:17極chuで点呼→獄中で点呼なのかな
222,222,1234ごめんなさいでごめんなさいしましたお姉ちゃん禿げますww
223,223,なるほど救済9さいのレクイエムということか
224,224,なんでこんなに中毒性があるのか考えたがチルノのパーフェクト算数教室とかを作ってる人が関わってるって知って秒で納得した
225,225,数時間見ないだけで何万って再生増えてるのほんとにすごい
226,226,このビデオは毎日100万回の視聴数で成長している
227,227,登録してください登録するのでマジでマジで
228,228,なぜか大手高級車メーカーに乗っかられた曲
229,229,"""このチャンネルの総再生回数3分の1がこれ"""
230,230,高級車メーカも巻き込むとかヤバすぎw世界一のVTub…9歳やろ
231,231,踊りも歌もこんなにうめえなんて世界一の9歳じゃねえかよ…
232,232,サビのどこで止めとも可愛すぎてやばい
233,233,最高
234,234,4800万再生記念ビーム
235,235,9歳が救済のレクイエムってか
236,236,申し訳ないがドMの私にはご褒美でしかないんだが
237,237,これって救済(9歳)とかけてる
238,238,歌詞が薄っぺらい
239,239,頭ですごい流れる
240,240,うぜぇw
241,241,リズムと狂った歌詞と絵が最高に好きだわ
242,242,1億再生行くと思うごみ↓
243,243,をwてぃいっそこおl
244,244,学校でこれみんなの前で踊ってやったゾ
245,245,ニコニコ動画感すごい
246,246,本当に気持ち悪いで超笑った😂
247,247,おやっ誰がそんなことを考えるだろう...
248,248,もしかして救済と9歳をかけてるんじゃ
249,249,ういビーム計6回も打っといてういは全てを許しますは草
250,250,最初の救済のレクイエムと九歳のレクイエムをかけてるの好き
251,251,しぐれういのうた❤😂🎉
252,252,良い意味ですごい曲ですねお名前は知っていましたが物凄い才能だと思いました😳
253,253,不審者訓練の映像としてロリショタに見せましょ
254,254,9才でこれ歌えるとかすごすぎ🎉
255,255,硬體分鐘特務
256,256,ういビーム好き
257,257,今更かもだけど救済のレクイエムの救済が9才とかけてるのすごい
258,258,可愛いぃ逮捕されたい逮捕されてもいいから…
259,259,救済が九歳に聞こえてきた俺は末期
260,260,アニメショーン描いた人と映像作った人がいちばんすごい
261,261,逮捕される価値はあるな
262,262,登録者数高評価とチャンネル登録者同じなの笑う
263,263,1ヶ月で60万人がチャンネル登録をしたという九歳のVTuberの初オリ曲か
264,264,6.7コメントの中からこのコメント見た人に幸運が訪れますように
265,265,本家より先にでんじろうMADを聴いてしまった自分は可哀想な人だ
266,266,3:16確かにこの世には無いが作れる3:22小さいです3:27この虚無には皆んなに自分がこの動画を見た感想を伝えられる3:33よーく腐りきった耳をかっぽじってちゃんと脳みその中に入れとけって言いましたよね言う立場の人がそれを出来ないってどういう事ですかぁ頼んでいるわけでも無いのに…3:39うんさよならふっ全然ひびかねえ3:42日本語です4:05全然救済になってないあっつけるの忘れたからありがてえ以上地獄からのコメントでした
267,267,なんだかノリが古くね平成の初期くらいのノリじゃね笑
268,268,当たり前じゃねえからな
269,269,中毒性やばい
270,270,目からういビームを打つときはビムって伸ばすけど鳥のやつから打つときはビームってあんまり伸ばさないんだな
271,271,怖い
272,272,可愛いよぉー
273,273,"Оченьмило, IOSYS каквсегданавысоте.しぐれさんその歌を有難うとっても可愛いです★"
274,274,9歳と救済かけてる
275,275,助かる
276,276,僕たちは悪い人じゃないですからあんな言葉言われたく無いよー😭😭後あんな可愛い天使の年下なんだから最高かもしれん(年齢は言えないよ)
277,277,今さらだけど9さいと救済かけてることに気付いて鳥肌立った
278,278,わらべばあちゃんやっぱ凄い
279,279,初めて見ました何がかはわからないけど面白かったです
280,280,ガチでこの踊り完コピできる奴おりゅ
281,281,救済のレクイエムって救済と9歳掛けてるダブルミーニングなのか…今気付いた
282,282,今日学校の給食で流れてみんなでごめんなさーいって言って面白かった🤣めっちゃ盛り上がった
283,283,50日で4790万再生って一体何なんだ………
284,284,これにおいらの顔くっつけてyoutubeに出していいですか
285,285,音楽ってすごいですねでも歌詞😅
286,286,中毒性やばい
287,287,むかし妹に本当に気持ち悪いって言われたこと思い出したわw
288,288,クリックするまでは素敵な曲だと思っていました😰
289,289,ホロライブのおちゃめ機能と葛葉のking超えたのすごすぎw
290,290,うちのクラスのにわかがこの曲を馬鹿にしてたんですよ許せん🤬
291,291,1ヶ月で再生数バケモンだろ
292,292,今更だけどもしかして0:06のこれは救済のレクイエムのところ救済と9さいをかけてる
293,293,うわーこの曲ビートはすごいけど歌詞がヤバい(._./)
294,294,宇井ビーム弱そ
295,295,すげえういさん恐れいった
296,296,ロリコンは別に気持ち悪くはないんだけどロリコンの需要を理解しながら弄んでるこの9さいが気持ち悪い
297,297,ロシアから日本へのご挨拶
298,298,とてもかわいい
299,299,なぜこれを作ったのか止まらないのはわかっているけど私はあなたのコンテンツを気に入るかもしれないが私は単純ではない
300,300,歌曲☺️歌词💀
301,301,ロリコンは世界共通
302,302,あなややらやたそま
303,303,え4000・・・・世の中平和だな
304,304,救済って9さいとしても捉えられるな今思ったけど🤨
305,305,歌詞のセンスよ1:02
306,306,不能在我的世界里找到那个对自己
307,307,2:15私はロリコンということを自覚した
308,308,なるほど…これが9歳(救済)のレクイエムか(:3_ヽ)
309,309,唱とアイドルの次に人気なミュージックビデオ🤔
310,310,めえぐうsたあえsたかんしおん^^
311,311,別の動画でギャングサインがふんだんに盛り込まれた曲だということを知って恐ろしくなりました
312,312,たなやーはやは
313,313,昨日15人くらいでカラオケ行ったときにみんなで大合唱した…なんで15人全員がこれ歌えるんだよ…みんなそんなにロリコンなのかよいや私はロリよりショタ派だがな
314,314,どんなもの食べたらこんな粛清の意味もよく知らない厨二女子と変な気持ち悪いドMが大量爆誕しそうな曲作れるんだ
315,315,いい年して幼女を演じ切る勇気笑
316,316,結構ヒットしてるね幼稚だけど笑
317,317,こんにちは1:34
318,318,可愛い声でとんでもないこと言うのが好きwww
319,319,カワボすぎる!🎉
320,320,土木人田廿大土女大卜田十木土難十??
321,321,なんてことだ💀
322,322,友人がこの曲を勧めてくれたので訳詞を渡すことができたのですが聞いてみると何も書いていないと言われました栄光
323,323,なるほどw救済のレクイエム(9歳のレクイエム)なのかw
324,324,目絵円かんたloli god
325,325,なんか毎日聞いている気がする🎵完全はまってしまった😱
326,326,オックス兄弟あなたはとても退屈です私はこの曲が大好きでした
327,327,この曲は信じられないほど素晴らしい
328,328,最後の言葉かっこよすぎて……
329,329,"私はアニメやこのテーマのファンではありません私は車にもっと精通しています(80,000ルーブルのBMW 5-er)しかし私はその歌が良かったことを理解しています(私は翻訳者を通して書きましたごめんなさい) P.S (ロシアからこんにちは)"
330,330,女神ロリが踊った部分は一瞬だった0:15そしてその分のうちに1:02
331,331,なんかシルヴプレジデントの分身見てる気分…
332,332,ほら娘失われたものを歌うのはやめて
333,333,まさか日本の1イラストレーターの出した曲が1ヶ月程でウン千万再生されるだなんて誰にも予想できんかっただろうなぁ……このキレッキレのダンスのアニメーションの中毒性がヤバすぎるんよw
334,334,このたわごとは激しくヒットします
335,335,これはとても良い曲です
336,336,勝負を受けて立つ.
337,337,ままあああああああああ
338,338,五吃
339,339,とりあえず草
340,340,いい年して幼女...すいません何でもないです笑
341,341,スターリンで検索したらこの曲出てきた
342,342,触ったら逮捕のとこのポーズがターボ歩美にしか見えん
343,343,THE FIRST TAKEでもいける(知らんけど)
344,344,時雨うい....
345,345,なあらあらあらあらたりたりた
346,346,購読者150万おめでとうございますウイビーム
347,347,このMV公開して1ヶ月半で登録者60万人稼いだってマジ(90万→2023/10末で150万人)
348,348,bろうぇねえだtらんだぇてr
349,349,車が見える9mmが聴こえる
350,350,古き良きニコ動の時代を思い出すノリと雰囲気がある
351,351,ロリコンからすると最後にロリ声以外のお姉さんの声が入るのは解せぬ
352,352,ここまで情報量多すぎて笑える歌中ないw
353,353,IOSYS最大のヒット作がこれになりそうで怖い()
354,354,めちゃくちゃいい曲歌詞が普通だったら…笑
355,355,泥水で口を洗えからの法廷で会おうが好き
356,356,翻訳で外国人を大混乱に陥れた伝説の曲
357,357,もう何年も紅白やレコ大を観て無いケドもし今年の放送でロリ神やってくれるなら観てもいいなぁ❤と思うw
358,358,一個她甚至不怕得罪她的追隨者的國家雖然很多人不會高興但有些人會說它很可愛因為他們不知道
359,359,せーのつ
360,360,ういちゃんかわいい
361,361,神やん😂❤
362,362,最近これを聞いて思ってしまった救済と9歳…かけてるのではと(勝手な妄想です)
363,363,エグいバズり方してるやん笑vtuberすっげぇなにじさんじもホロライブも個人もとんでもねぇや
364,364,このロリコン粛清ソングがVTuberで1番再生されているという事実…
365,365,保育園の頃の友達もういちゃんっていう子いた😂
366,366,やらないかの対義語
367,367,我第一次聽這首歌是不完整的但太上頭了❤
368,368,どっかの歌詞サイトで検索一位なってた🥇✨おめでとうございます
369,369,2:03助かるゥの所が一番好き黙って貰っていいですかで食い気味で答えていて爆笑してしまったそういう所だぞ
370,370,何回ういビームするねんwww
371,371,高昂鞥鞥
372,372,最後の本当に気持ち悪いはういちゃんじゃなくてしぐれういって感じwww
373,373,ここにもイオシスいるよ…さすが
374,374,そくて!!!
375,375,初めて聴いたのですが救済と9さいかけてる
376,376,一番最後聞くために何度も10秒戻してる私はセーフでしょうか
377,377,150万人おめでとう
378,378,ういビーム大半のロリコンにはデバフじゃなくて超強化バフになってそうw
379,379,たくさんのお金がなくなったことは明らかです
380,380,この音楽は本当に素晴らしい特にダンスは心から知っているししぐれUIには力がある本当に信じられないほどだよマンガとアニメとシリーズが必要だ❤❤❤❤❤🎉🎉
381,381,我愛S你了
382,382,気付いたらこれが平然と大衆に知れ渡る世界線に至ったことが今でも信じられない
383,383,これは救済(9さい)のレクイエム
384,384,Awww is so ugly_(≥∇≤)ノミ☆
385,385,なにがどうしたらこんな曲が産まれるんだよ…
386,386,11月のこの傾向にはうんざりだ
387,387,メロディーの転調が気持ち良すぎる
388,388,誰かこの動画で中学基礎英語のフィオナちゃんを踊らせてくれ!
389,389,2:16お姉さん…百合か
390,390,やばいくらいにうちのクラスのロリ好き男子内で流行ってる…ういちゃんういちゃん待ってよういちゃんういちゃんういちゃんかわいいよォの部分が…ものすごく似てるから才能だと思う↓共感者
391,391,❤しぐれうい🎉諮客古欸欸無可而無哭泣詞庫屋哦你哦槓子頭哦次你吃企鵝吃噢噢七次苦其妻恩幾千年此刻一個呃嘎嘎哦咯咯笑可恩更快武庫各個坑噢噢哥呃抗議啟示哦抗哦社區哦飢餓飢餓哦敬愛可呃吃誒嘿欸欸熬熬五五呃
392,392,可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い可愛い❤
393,393,再生速度0.5面白い😂
394,394,ちょうど素晴らしいアニメーションあなたの両親はあなたの傾向について知っていますかハングアップしたばかりでクリップ全体を聴くことにして驚いたそしてこの曲は一年以上前のものです(-‿-)
395,395,10/30登録者数母親しぐれうい151万人娘大空スバル156万人娘の登録者数に後5万人で追い付くういママ
396,396,めちゃ可愛い声🩷
397,397,それはとてもかわいいです❤❤
398,398,これさ中毒性あるから授業中に頭の中で流れる
399,399,これは救済9歳のレイクイエムにしか聞こえん…w
400,400,なんか昔感がある
401,401,お姉さんベンルーにいるのにどうしてそんなに失礼なの
402,402,ひ
403,403,俺らも歌ってみない触ったら逮捕
404,404,救済と9歳かけてるのか…じゃあ救済されたっていうのは9歳にされたッテコト!?楽園やんけ…
405,405,我喜欢音乐
406,406,外国ニキ達にIOSYSの魔理沙は大変なものを盗んでいきましたとか見て欲しいわあれは曲も歌詞も動画も神16年前ってだけあって埋もれちゃってるからこの機会にまた掘り返されてほしい....(´ω`)
407,407,泥水で口を洗えってワンチャンディオ様が目の前でやられてたりして
408,408,いろんな意味で面白いです
409,409,日本の歌が力強く聞こえるほどその翻訳はより本格的であると私はますます確信しています(⁠・⁠o⁠・⁠)
410,410,全くこの歌は致命的だぜ
411,411,触ったら逮捕の歌詞のロリ神レクイエムなんだショート動画でも聴いたけど動画で聴いた時にはすごい
412,412,男にだけかと思ったらさり気なく女にも悪く言ってて平等で超好き
413,413,1:03ここまじ好き
414,414,救済のレクイエム救済と9さいかけてる9さいのレクイエムってこと
415,415,受験生へ...落ちたら再度(Ah)浪人de勉強(Uh)いちにーさんねん(もういちねーん)ハァ(ﾟДﾟ)過ぎた時間は戻れなーい(えー)粛聖!!浪人レクイエム☆
416,416,固有結界→領域展開ういビーム→術式つまりロリ神レクイエムは呪術廻戦
417,417,ああこのビデオは大好きだけど彼女が言っていることを調べてみたらちょっと怖かった
418,418,242曲じゃない
419,419,これは9歳のレクイエム
420,420,サビの踊りと歌の中毒性が異常すぎる
421,421,ういちゃんかわいい❤❤❤❤❤❤
422,422,救済(9さい)のレクイエムてこと!?
423,423,なんだこの中毒性のあるこのMVとこの曲は…
424,424,オタクのおかげで流行らせてもらった分際が何いってんだよ…成人した上に9歳を扮してこんなことしてんのかよ…
425,425,泥水で口を洗うのがジョジョ第一部と同じで草
426,426,ぬるぬる動くな
427,427,新しい扉が開かれたよありがとう........
428,428,これは中毒性ハンパないわ
429,429,9歳のレクイエム=救済のレクイエム…
430,430,逆にこんな歌作ったあなたこそこんな姿親に見せられますかー
431,431,いちにーさんしーの足タンタンが可愛過ぎるw←
432,432,いい歌声ですね😊
433,433,なんと😳
434,434,世界中からヘイト集めてて草もっと寛容になろうよIt's funny how much hate they get from all over the world.Let's be more tolerant.
435,435,我保證如果我爸爸告訴我如果我0你好😽😽😽
436,436,Когдаоначибионатакаямилая(тольконенадомнереквиемадлячисткидушмнеменьше14)チビのときはとてもかわいい魂を浄化するレクイエムは必要ない私は14歳未満だから
437,437,素敵なアートとアニメーション
438,438,最後くるのが最高すぎる触ったら逮捕ah!
439,439,どのようなアニメですか
440,440,自分が思った事この9歳すごいギネス行くかギネス行けるように頑張ってー
441,441,この曲追放して良いですか悪い意味で聴いてて気分悪くなります聴いて損しましたもうこんな曲公開停止にしてください歌ってる内容があまりにも酷すぎます
442,442,私カワボきついし気持ち悪いアンチはよくないけどこれが私の気持ちなんだ嘘じゃないよ本当のこと言っだけういちゃんのカワボ気持ち悪いこれが私の気持ち
443,443,なぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜなぁぜ私どんな動画見てもつまんない面白くない気持ち悪いなぁぜなぁぜ私7歳だけど
444,444,救済と9歳かけてるんか
445,445,どうか韓国でも音源で聞けるようにお願いします
446,446,アホほどバズったのに内容のせいでメディア露出できないの草
447,447,皆さんこんにちは私はベトナム出身ですがベトナムを知っていますか
448,448,あなたはとても美しいです😘😘😘
